Date,KOZAL.IS
2020-01-02,76.5
2020-01-03,76.3499984741211
2020-01-06,79.75
2020-01-07,79.94999694824219
2020-01-08,79.3499984741211
2020-01-09,79.5
2020-01-10,77.55000305175781
2020-01-13,77.80000305175781
2020-01-14,76.80000305175781
2020-01-15,77.6500015258789
2020-01-16,75.94999694824219
2020-01-17,76.55000305175781
2020-01-20,78.4000015258789
2020-01-21,78.4000015258789
2020-01-22,80.4000015258789
2020-01-23,80.0
2020-01-24,80.1500015258789
2020-01-27,79.44999694824219
2020-01-28,80.5999984741211
2020-01-29,78.5
2020-01-30,77.44999694824219
2020-01-31,80.1500015258789
2020-02-03,78.6500015258789
2020-02-04,78.3499984741211
2020-02-05,77.5
2020-02-06,77.4000015258789
2020-02-07,77.69999694824219
2020-02-10,75.0999984741211
2020-02-11,75.94999694824219
2020-02-12,75.55000305175781
2020-02-13,77.9000015258789
2020-02-14,77.8499984741211
2020-02-17,80.30000305175781
2020-02-18,80.0
2020-02-19,82.0999984741211
2020-02-20,78.3499984741211
2020-02-21,82.44999694824219
2020-02-24,84.0999984741211
2020-02-25,82.5
2020-02-26,81.55000305175781
2020-02-27,79.9000015258789
2020-02-28,74.0
2020-03-02,73.1500015258789
2020-03-03,74.0
2020-03-04,73.80000305175781
2020-03-05,73.6500015258789
2020-03-06,75.25
2020-03-09,69.25
2020-03-10,65.0
2020-03-11,64.94999694824219
2020-03-12,58.349998474121094
2020-03-13,61.150001525878906
2020-03-16,54.900001525878906
2020-03-17,52.0
2020-03-18,51.5
2020-03-19,52.150001525878906
2020-03-20,53.150001525878906
2020-03-23,53.79999923706055
2020-03-24,59.54999923706055
2020-03-25,62.45000076293945
2020-03-26,66.0999984741211
2020-03-27,61.95000076293945
2020-03-30,62.150001525878906
2020-03-31,61.29999923706055
2020-04-01,59.150001525878906
2020-04-02,59.75
2020-04-03,59.70000076293945
2020-04-06,62.900001525878906
2020-04-07,63.150001525878906
2020-04-08,63.599998474121094
2020-04-09,66.0
2020-04-10,66.0
2020-04-13,66.94999694824219
2020-04-14,73.5
2020-04-15,70.19999694824219
2020-04-16,72.0999984741211
2020-04-17,70.6500015258789
2020-04-20,70.3499984741211
2020-04-21,69.69999694824219
2020-04-22,71.0999984741211
2020-04-24,71.6500015258789
2020-04-27,73.9000015258789
2020-04-28,72.19999694824219
2020-04-29,72.4000015258789
2020-04-30,71.75
2020-05-04,71.94999694824219
2020-05-05,74.0
2020-05-06,76.0
2020-05-07,74.94999694824219
2020-05-08,72.44999694824219
2020-05-11,71.0999984741211
2020-05-12,73.5
2020-05-13,73.75
2020-05-14,73.8499984741211
2020-05-15,75.05000305175781
2020-05-18,75.19999694824219
2020-05-20,75.0
2020-05-21,74.19999694824219
2020-05-22,73.75
2020-05-27,73.5999984741211
2020-05-28,74.94999694824219
2020-05-29,74.25
